AÑO,CODIGO,PRODUCTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,PROMEDIO
2006,7305,MAZANA CORRIENTE PARA AGUA,0.81,0.93,1.02,1.07,1.13,1.3,1.41,1.36,1.4,1.01,0.82,0.76,1.09
2006,7401,MARACUYA COSTA,1.47,1.29,1.29,1.23,1.23,1.14,1.29,1.32,1.5,1.54,1.42,1.03,1.31
2007,0101,ACELGA,0.92,1.2,1.08,0.96,1,1.18,1.08,0.99,1,0.92,0.93,0.93,1.02
2007,0201,AJI AMARILLO SECO,6.44,7.2,6.83,4.85,5.46,5.89,5.78,5.68,6.05,8.81,12.85,9.07,7.08
2007,0202,AJI ESCABECHE FRESCO/ZANAHOR/LISO,4.41,3.37,1.84,1.02,0.83,0.82,1.04,1.59,2.37,4.85,5.45,3.58,2.6
2007,0206,AJI MONTAÑA/CHANCHAMAYO(COSTA/SELVA),3.76,4.29,2.75,1.9,1.44,0.97,1.15,1.12,1.21,1.13,1.25,0.9,1.82
2007,0208,AJI SECO PANCA,5.72,6.78,6.14,5.55,6.35,6.22,6.48,6.54,6.61,7.88,11.92,11.18,7.28
2007,0209,AJI ROCOTO (COSTA/SIERRA/SELVA),1.9,2.34,3.12,3.01,1.93,1.35,1,1.03,1.18,1.4,1.55,0.81,1.72
2007,0210,AJI LIMO (COSTA/SELVA),,2.08,,,,,,,,,,,2.08
2007,0211,PAPRIKA,6.59,6.55,,,,,8.07,,6.44,6.51,7.01,7.33,6.93
2007,0302,AJO CRIOLLO O NAPURI,1.57,1.74,2.07,2.14,1.59,1.46,1.41,1.49,1.39,1.37,1.42,1.33,1.58
2007,0303,AJO MORADO/BARRAN/LEGIT/OTROS,2.87,3.04,3.27,3.24,2.81,2.72,2.52,2.19,1.98,2.22,2.54,2.28,2.64
2007,0305,AJO SERRANO SEMILLA CORRIENTE/ARICOTA,,,,1.72,1.52,1.42,1.12,,,,,,1.45
2007,0401,ALBAHACA,2.43,2.64,2.55,2.41,2.31,2.08,3.69,5.7,8.22,6.15,2.58,2.31,3.59
2007,0502,ALCACHOFA SERRANA/VALLE/QUEBRADA/HELADA,1.71,1.74,1.73,1.57,1.54,1.82,1.96,1.64,1.75,1.93,1.81,1.83,1.75
2007,0601,APIO,0.8,1.02,0.92,0.83,0.81,0.77,0.78,0.72,0.58,0.55,0.69,0.81,0.77
2007,0701,ARVEJA VERDE AMERICANA/MEJORA/(CRI/SERR),1.91,1.78,1.73,1.85,2.05,1.58,1.06,1.33,1.13,1.04,1.28,1.68,1.54
2007,0702,ARVEJA VERDE AZUL (CRIOLLA/SERRANA),1.73,1.41,,,,,,1.12,1.08,1.02,1.2,1.54,1.3
2007,0703,ARVEJA VERDE BLANCA CRIOLLA,,,,,,,,,0.97,0.9,0.98,,0.95
2007,0704,ARVEJA VERDE BLANCA SERRANA,1.45,1.22,1.27,1.37,1.41,1.27,0.9,1.09,0.89,0.8,0.96,1.38,1.17
2007,0706,ARVEJA SECA PART. AMERICANA,2.7,,,,,,,,,,,,2.7
2007,0801,BERENJENA (CRIOLLA/SERRANA),2,2.62,2.15,2.06,2.35,2.1,2.03,2.36,2.39,2.58,2.72,2.38,2.31
2007,0901,BETERRAGA (CRIOLLA/SERRANA),0.91,1.08,1.01,0.96,1.02,1,1.15,1.09,0.97,0.91,0.75,0.86,0.98
2007,1001,CAIGUA (CRIOLLA/SERRANA),,,,,2.06,2.1,1.82,1.91,1.86,2.18,1.48,1.35,1.85
2007,1002,CAIGUA (SELVA),1.82,1.57,1.36,1.02,0.98,1.19,1.16,1.17,1.01,1.1,0.75,0.65,1.15
2007,1201,CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU,0.32,0.26,0.24,0.26,0.37,0.56,0.95,1.56,1.7,1.55,1.27,0.96,0.83
2007,1203,CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON,0.36,0.32,0.33,0.35,0.45,0.49,0.69,1.03,1.4,1.31,1.09,0.97,0.73
2007,1401,CEBOLLA CABEZA BLANCA NACIONAL,0.65,0.89,0.91,,,1.25,1.29,1.55,1.02,0.67,0.67,0.61,0.95
2007,1402,CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,0.42,0.53,0.59,0.67,1.01,1.16,1.04,1.1,0.93,0.51,0.32,0.34,0.72
2007,1403,CEBOLLA CHINA (CRIOLLA/SERRANA),2.62,2.65,2.75,2.6,2.46,2.43,2.85,2.48,2.43,2.5,2.43,2.8,2.58
2007,1502,COL CORAZON/NENE/(CRIOLLA/SERRANA),0.27,0.44,0.58,0.55,0.55,0.54,0.49,0.52,0.54,0.58,0.51,0.36,0.49
2007,1503,COL CRESPA,0.37,0.52,0.6,0.59,0.56,0.64,0.63,0.52,0.58,0.57,0.46,0.43,0.54
2007,1601,COLIFLOR (CRIOLLA/SERRANA),0.64,0.6,0.62,0.57,0.53,0.4,0.48,0.54,0.52,0.51,0.47,0.42,0.53
2007,1701,CULANTRO (CRIOLLO/SERRANO),1.05,1.16,1.19,1.01,1.02,1.11,0.98,1.18,0.88,0.94,1.24,1.24,1.08
2007,1801,CHOCLO SERRANO SEMILLA CORRIENTE,1.15,1.01,0.9,1.4,1.56,1.39,1.62,1.66,1.46,1.32,1.19,0.98,1.3
2007,1802,CHOCLO PARDO,,,,,1.69,1.69,1.86,1.74,1.26,1.23,0.98,0.81,1.41
2007,1804,CHOCLO SERRANO TIPO CUZCO,1.4,1.3,1.21,1.68,1.88,1.87,2.04,2.29,2.1,1.81,1.53,1.38,1.71
2007,2001,ESPARRAGO/VERDE/BLANCO,3.62,3.62,3.62,3.6,3.74,3.68,4.04,3.65,3.67,3.52,3.49,3.56,3.65
2007,2101,ESPINACA (CRIOLLA/SERRANA),0.99,1.41,1.7,1.36,1.03,1.36,1.61,1.51,1.23,1.23,1.32,1.61,1.36
2007,2201,FREJOL VERDE CANARIO,1.33,1.75,2.28,2.01,1.98,2.03,2.28,2.09,1.65,1.77,1.56,1.14,1.82
2007,2202,FREJOL VERDE CASTILLA,0.82,0.72,,0.66,0.93,,1.09,,,,,,0.84
2007,2207,FREJOL SECO CANARIO(CAMA/CHIN/HUAR/SERR),3.75,3.75,3.77,4.09,3.87,3.98,4.19,4.24,4.09,4.1,3.99,3.96,3.98
2007,2212,FREJOL SECO GUINDA,,,,,,3.3,,,,,,,3.3
2007,2214,FREJOL SECO PANAMITO,,,,,,2.3,,,,,,,2.3
2007,2303,GARBANZON SECO NACIONAL,3.93,,,,,3.43,,,,,,,3.68
2007,2401,HABA SECA ENTER.BLANC.NAC.(CRI/SER),1.93,,,,,,,,,,,,1.93
2007,2403,HABA SECA PARTIDA (CRIOLLA/SERRANA),1.57,,,,,2.33,,,,,,,1.95
2007,2404,HABA VERDE CRIOLLA/SRTA/GERG/PACAE/AMAR,,,,,,,0.7,0.69,0.82,0.52,0.36,0.39,0.58
2007,2405,HABA VERDE SERRANA,0.78,0.69,0.61,0.6,0.71,0.97,0.84,0.91,1.18,0.9,0.6,0.69,0.79
2007,2501,HIERBA BUENA (CRIOLLA/SERRANA),1.29,1.4,1.43,1.54,1.55,1.49,1.64,1.52,1.3,1.28,1.3,1.27,1.42
2007,2601,JOLANTAU/ORGANICA,4.99,5.55,6.06,5.51,5.85,5.23,3.28,2.53,2.69,2.5,2.59,3.75,4.21
2007,2602,COL CHINA/LONGAPA,1.65,2.29,2.98,1.62,1.6,1.67,1.27,1.52,1.86,2.35,1.54,1.46,1.82
2007,2603,PACCHOY,2.9,4.15,3.75,3.3,3.29,3.49,2.55,2.95,2.94,3.06,2.48,2.73,3.13
2007,2615,KION (COSTA/SELVA),1.1,1.16,0.97,1.06,1.13,0.99,0.9,1.12,1.18,1.2,1.13,1.12,1.09
2007,2617,FREJOLITO CHINO,1.81,1.84,1.79,1.77,1.77,1.75,1.87,1.75,1.76,1.74,1.74,1.76,1.78
